,202210,202211,202212,202301,기준대비성장금액,전월대비성장금액
로수젯정10/5밀리그램,"17,362,497","17,468,636","18,118,247","18,284,284","634,490","166,036"
로수젯정10/20밀리그램,"344,100","156,409","375,381","250,254","-41,709","-125,127"
로수젯정10/10밀리그램,"5,347,021","5,755,338","5,986,852","5,241,270","-455,134","-745,582"
로수젯정10/2.5밀리그램,"1,661,075","2,263,923","2,552,034","2,474,886","315,875","-77,148"
합계,"24,714,694","25,644,308","27,032,516","26,250,695","453,522","-781,821"
